Location,Main Library Name,10.15 Phone,Latitude,Longtitude,10.6 Street Address,10.7 City,10.8 Zip Code,10.9 Zip+4 Code,10.1 FSCSKey,URL
DIAMOND BAR LIBRARY,LA COUNTY LIBRARY,(909) 861-4978,33.99907,-117.83071,21800 COPLEY DR.,DIAMOND BAR,91765,2299,CA0062,http://www.lacountylibrary.org
DR. MARTIN LUTHER KING JR. LIBRARY,LA COUNTY LIBRARY,(310) 327-4830,33.86766,-118.26568,17906 SOUTH AVALON BLVD.,CARSON,90746,1598,CA0062,http://www.lacountylibrary.org
DUARTE LIBRARY,LA COUNTY LIBRARY,(626) 358-1865,34.13811,-117.97789,1301 BUENA VISTA ST.,DUARTE,91010,2410,CA0062,http://www.lacountylibrary.org
EAST LOS ANGELES LIBRARY,LA COUNTY LIBRARY,(323) 264-0155,34.03399,-118.15972,4837 EAST THIRD ST.,LOS ANGELES,90022,1601,CA0062,http://www.lacountylibrary.org
EAST RANCHO DOMINGUEZ LIBRARY,LA COUNTY LIBRARY,(310) 632-6193,33.89637,-118.19761,4205 EAST COMPTON BLVD.,EAST RANCHO DOMINGUE,90221,3664,CA0062,http://www.lacountylibrary.org
EL CAMINO REAL LIBRARY,LA COUNTY LIBRARY,(323) 269-8102,34.02369,-118.17777,4264 EAST WHITTIER BLVD.,LOS ANGELES,90023,2036,CA0062,http://www.lacountylibrary.org
EL MONTE LIBRARY,LA COUNTY LIBRARY,(626) 444-9506,34.06710,-118.03572,3224 TYLER AVE.,EL MONTE,91731,3356,CA0062,http://www.lacountylibrary.org
FLORENCE LIBRARY,LA COUNTY LIBRARY,(323) 581-8028,33.97450,-118.24512,1610 EAST FLORENCE AVE.,LOS ANGELES,90001,2522,CA0062,http://www.lacountylibrary.org
GARDENA MAYME DEAR LIBRARY,LA COUNTY LIBRARY,(310) 323-6363,33.88218,-118.30752,1731 WEST GARDENA BLVD.,GARDENA,90247,4726,CA0062,http://www.lacountylibrary.org
GEORGE NYE JR. LIBRARY,LA COUNTY LIBRARY,(562) 421-8497,33.84622,-118.10329,6600 DEL AMO BLVD.,LAKEWOOD,90713,2206,CA0062,http://www.lacountylibrary.org
GRAHAM LIBRARY,LA COUNTY LIBRARY,(323) 582-2903,33.95993,-118.23833,1900 EAST FIRESTONE BLVD.,LOS ANGELES,90001,4126,CA0062,http://www.lacountylibrary.org
HACIENDA HEIGHTS LIBRARY,LA COUNTY LIBRARY,(626) 968-9356,33.99354,-117.96412,16010 LA MONDE ST.,HACIENDA HEIGHTS,91745,4299,CA0062,http://www.lacountylibrary.org
HAWAIIAN GARDENS LIBRARY,LA COUNTY LIBRARY,(562) 496-1212,33.83117,-118.07802,11940 CARSON STREET,HAWAIIAN GARDENS,90716,1137,CA0062,http://www.lacountylibrary.org
HAWTHORNE LIBRARY,LA COUNTY LIBRARY,(310) 679-8193,33.91721,-118.35450,12700 GREVILLEA AVE.,HAWTHORNE,90250,4396,CA0062,http://www.lacountylibrary.org
HERMOSA BEACH LIBRARY,LA COUNTY LIBRARY,(310) 379-8475,33.86427,-118.39559,550 PIER AVE.,HERMOSA BEACH,90254,3892,CA0062,http://www.lacountylibrary.org
HOLLYDALE LIBRARY,LA COUNTY LIBRARY,(562) 634-0156,33.91773,-118.16872,12000 SOUTH GARFIELD AVE.,SOUTH GATE,90280,7894,CA0062,http://www.lacountylibrary.org
HUNTINGTON PARK LIBRARY,LA COUNTY LIBRARY,(323) 583-1461,33.98038,-118.21876,6518 MILES AVE.,HUNTINGTON PARK,90255,4388,CA0062,http://www.lacountylibrary.org
LA CANADA FLINTRIDGE LIBRARY,LA COUNTY LIBRARY,(818) 790-3330,34.20283,-118.19404,4545 NORTH OAKWOOD AVE.,LA CANADA FLINTRIDGE,91011,3358,CA0062,http://www.lacountylibrary.org
LA CRESCENTA LIBRARY,LA COUNTY LIBRARY,(818) 248-5313,34.22468,-118.24037,2809 FOOTHILL BLVD,LA CRESCENTA,91214,2999,CA0062,http://www.lacountylibrary.org
LA MIRADA LIBRARY,LA COUNTY LIBRARY,(562) 943-0277,33.90580,-118.01096,13800 LA MIRADA BLVD.,LA MIRADA,90638,3098,CA0062,http://www.lacountylibrary.org
LA PUENTE LIBRARY,LA COUNTY LIBRARY,(626) 968-4613,34.01936,-117.95112,15920 EAST CENTRAL AVE.,LA PUENTE,91744,5499,CA0062,http://www.lacountylibrary.org
LA VERNE LIBRARY,LA COUNTY LIBRARY,(909) 596-1934,34.11138,-117.76418,3640 D. ST.,LA VERNE,91750,3572,CA0062,http://www.lacountylibrary.org
LAKE LOS ANGELES LIBRARY,LA COUNTY LIBRARY,(661) 264-0593,34.61702,-117.82772,"16921 EAST AVE. O, #A",PALMDALE,93591,3045,CA0062,http://www.lacountylibrary.org
LANCASTER LIBRARY,LA COUNTY LIBRARY,(661) 948-5029,34.69848,-118.14025,601 W. LANCASTER BLVD,LANCASTER,93534,3398,CA0062,http://www.lacountylibrary.org
LAWNDALE LIBRARY,LA COUNTY LIBRARY,(310) 676-0177,33.89852,-118.35446,14615 BURIN AVE.,LAWNDALE,90260,1431,CA0062,http://www.lacountylibrary.org
LELAND R. WEAVER LIBRARY,LA COUNTY LIBRARY,(323) 567-8853,33.94409,-118.20158,4035 TWEEDY BLVD.,SOUTH GATE,90280,6199,CA0062,http://www.lacountylibrary.org
LENNOX LIBRARY,LA COUNTY LIBRARY,(310) 674-0385,33.93846,-118.35227,4359 LENNOX BLVD,LENNOX,90304,2398,CA0062,http://www.lacountylibrary.org
LITTLEROCK LIBRARY,LA COUNTY LIBRARY,(661) 944-4138,34.51992,-117.98874,35119 80TH STREET EAST,LITTLEROCK,93543,9702,CA0062,http://www.lacountylibrary.org
LIVE OAK LIBRARY,LA COUNTY LIBRARY,(626) 446-8803,34.11013,-118.01310,4153 EAST LIVE OAK AVE.,ARCADIA,91006,5895,CA0062,http://www.lacountylibrary.org
LLOYD TABER-MARINA DEL REY LIBRARY,LA COUNTY LIBRARY,(310) 821-3415,33.98289,-118.44311,4533 ADMIRALTY WAY,MARINA DEL REY,90292,5416,CA0062,http://www.lacountylibrary.org
LOMITA LIBRARY,LA COUNTY LIBRARY,(310) 539-4515,33.80527,-118.31912,24200 NARBONNE AVE.,LOMITA,90717,1188,CA0062,http://www.lacountylibrary.org
LOS NIETOS LIBRARY,LA COUNTY LIBRARY,(562) 695-0708,33.96473,-118.07317,8511 DUCHESS DR.,WHITTIER,90606,3396,CA0062,http://www.lacountylibrary.org
LYNWOOD LIBRARY,LA COUNTY LIBRARY,(310) 635-7121,33.92720,-118.19907,11320 BULLIS RD.,LYNWOOD,90262,3661,CA0062,http://www.lacountylibrary.org
MALIBU LIBRARY,LA COUNTY LIBRARY,(310) 456-6438,34.03697,-118.68863,23519 WEST CIVIC CENTER WAY,MALIBU,90265,4804,CA0062,http://www.lacountylibrary.org
MANHATTAN BEACH LIBRARY,LA COUNTY LIBRARY,(310) 545-8595,33.88690,-118.41038,1320 HIGHLAND AVE.,MANHATTAN BEACH,90266,4789,CA0062,http://www.lacountylibrary.org
MASAO W. SATOW LIBRARY,LA COUNTY LIBRARY,(310) 679-0638,33.90001,-118.32697,14433 SOUTH CRENSHAW BLVD.,GARDENA,90249,3142,CA0062,http://www.lacountylibrary.org
MAYWOOD CESAR CHAVEZ LIBRARY,LA COUNTY LIBRARY,(323) 771-8600,33.98776,-118.18899,4323 EAST SLAUSON AVE.,MAYWOOD,90270,2837,CA0062,http://www.lacountylibrary.org
MONTEBELLO LIBRARY,LA COUNTY LIBRARY,(323) 722-6551,34.02076,-118.11547,1550 WEST BEVERLY BLVD.,MONTEBELLO,90640,3993,CA0062,http://www.lacountylibrary.org
NORWALK LIBRARY,LA COUNTY LIBRARY,(562) 868-0775,33.91668,-118.06938,12350 IMPERIAL HWY.,NORWALK,90650,3199,CA0062,http://www.lacountylibrary.org
NORWOOD LIBRARY,LA COUNTY LIBRARY,(626) 443-3147,34.08698,-118.01614,4550 NORTH PECK RD.,EL MONTE,91732,1998,CA0062,http://www.lacountylibrary.org
PARAMOUNT LIBRARY,LA COUNTY LIBRARY,(562) 630-3171,33.88567,-118.16100,16254 COLORADO AVE.,PARAMOUNT,90723,5085,CA0062,http://www.lacountylibrary.org
PICO RIVERA LIBRARY,LA COUNTY LIBRARY,(562) 942-7394,33.99202,-118.08927,9001 MINES AVE.,PICO RIVERA,90660,3098,CA0062,http://www.lacountylibrary.org
QUARTZ HILL LIBRARY,LA COUNTY LIBRARY,(661) 943-2454,34.64621,-118.21817,42018 N. 50TH ST. W.,QUARTZ HILL,93536,3509,CA0062,http://www.lacountylibrary.org
RIVERA LIBRARY,LA COUNTY LIBRARY,(562) 949-5485,33.96897,-118.10107,7828 S. SERAPIS AVE.,PICO RIVERA,90660,4600,CA0062,http://www.lacountylibrary.org
ROSEMEAD LIBRARY,LA COUNTY LIBRARY,(626) 573-5220,34.08023,-118.07724,8800 VALLEY BLVD.,ROSEMEAD,91770,1788,CA0062,http://www.lacountylibrary.org
ROWLAND HEIGHTS LIBRARY,LA COUNTY LIBRARY,(626) 912-5348,33.98446,-117.88856,1850 NOGALES ST.,ROWLAND HEIGHTS,91748,2945,CA0062,http://www.lacountylibrary.org
SAN DIMAS LIBRARY,LA COUNTY LIBRARY,(909) 599-6738,34.10809,-117.80321,145 NORTH WALNUT AVE.,SAN DIMAS,91773,2603,CA0062,http://www.lacountylibrary.org
SAN FERNANDO LIBRARY,LA COUNTY LIBRARY,(818) 365-6928,34.28562,-118.43860,217 N. MACLAY AVE.,SAN FERNANDO,91340,2908,CA0062,http://www.lacountylibrary.org
SAN GABRIEL LIBRARY,LA COUNTY LIBRARY,(626) 287-0761,34.09578,-118.09933,500 SOUTH DEL MAR AVE.,SAN GABRIEL,91776,2408,CA0062,http://www.lacountylibrary.org
SORENSEN LIBRARY,LA COUNTY LIBRARY,(562) 695-3979,33.97950,-118.06238,6934 BROADWAY AVE.,WHITTIER,90606,1994,CA0062,http://www.lacountylibrary.org
SOUTH EL MONTE LIBRARY,LA COUNTY LIBRARY,(626) 443-4158,34.04480,-118.04665,1430 N. CENTRAL AVE.,SOUTH EL MONTE,91733,3302,CA0062,http://www.lacountylibrary.org
SOUTH WHITTIER LIBRARY,LA COUNTY LIBRARY,(562) 946-4415,33.92549,-118.02456,11543 COLIMA RD,WHITTIER,90604,2966,CA0062,http://www.lacountylibrary.org
STEVENSON RANCH LIBRARY,LA COUNTY LIBRARY,(661) 287-5954,34.39322,-118.57280,25950 THE OLD ROAD,STEVENSON RANCH,91381,N/A,CA0062,http://www.lacountylibrary.org
SUNKIST LIBRARY,LA COUNTY LIBRARY,(626) 960-2707,34.05524,-117.97675,840 NORTH PUENTE AVE.,LA PUENTE,91746,1316,CA0062,http://www.lacountylibrary.org
TEMPLE CITY LIBRARY,LA COUNTY LIBRARY,(626) 285-2136,34.10839,-118.05717,5939 GOLDEN WEST AVE.,TEMPLE CITY,91780,5702,CA0062,http://www.lacountylibrary.org
TOPANGA LIBRARY,LA COUNTY LIBRARY,(310) 455-3480,34.08991,-118.60341,122 N. TOPANGA CANYON BLVD.,TOPANGA,90290,3836,CA0062,http://www.lacountylibrary.org
VIEW PARK BEBE MOORE CAMPBELL LIBRARY,LA COUNTY LIBRARY,(323) 293-5371,33.99281,-118.34122,3854 WEST 54TH ST.,LOS ANGELES,90043,2297,CA0062,http://www.lacountylibrary.org
WALNUT LIBRARY,LA COUNTY LIBRARY,(909) 595-0757,34.02596,-117.84369,21155 LA PUENTE RD.,WALNUT,91789,2017,CA0062,http://www.lacountylibrary.org
WEST COVINA LIBRARY,LA COUNTY LIBRARY,(626) 962-3541,34.07106,-117.94037,1601 WEST COVINA PKWY.,WEST COVINA,91790,2786,CA0062,http://www.lacountylibrary.org
WEST HOLLYWOOD LIBRARY,LA COUNTY LIBRARY,(310) 652-5340,34.08168,-118.38427,625 NORTH SAN VICENTE BLVD.,WEST HOLLYWOOD,90069,5020,CA0062,http://www.lacountylibrary.org
WESTLAKE VILLAGE LIBRARY,LA COUNTY LIBRARY,(818) 865-9230,34.14455,-118.79901,31220 W. OAK CREST DRIVE,WESTLAKE VILLAGE,91361,4643,CA0062,http://www.lacountylibrary.org
WILLOWBROOK LIBRARY,LA COUNTY LIBRARY,(323) 564-5698,33.92664,-118.23935,11737 WILMINGTON AVE.,LOS ANGELES,90059,3016,CA0062,http://www.lacountylibrary.org
WISEBURN LIBRARY,LA COUNTY LIBRARY,(310) 643-8880,33.90979,-118.37345,5335 WEST 135TH ST.,HAWTHORNE,90250,4948,CA0062,http://www.lacountylibrary.org
WOODCREST LIBRARY,LA COUNTY LIBRARY,(323) 757-9373,33.93982,-118.29994,1340 WEST 106TH ST.,LOS ANGELES,90044,1626,CA0062,http://www.lacountylibrary.org
LAKE COUNTY LIBRARY,LAKE COUNTY LIBRARY,(707) 263-8817,39.05148,-122.91744,1425 N. HIGH,LAKEPORT,95453,3800,CA0054,http://library.lakecountyca.gov
MIDDLETOWN LIBRARY,LAKE COUNTY LIBRARY,(707) 987-3674,38.74998,-122.61520,21256 WASHINGTON STREET,MIDDLETOWN,95461,578,CA0054,http://library.lakecountyca.gov
REDBUD LIBRARY,LAKE COUNTY LIBRARY,(707) 994-5115,38.96501,-122.63419,14785 BURNS VALLEY RD.,CLEARLAKE,95422,600,CA0054,http://library.lakecountyca.gov
UPPER LAKE LIBRARY,LAKE COUNTY LIBRARY,(707) 275-2049,39.16606,-122.91015,310 SECOND ST.,UPPER LAKE,95485,9591,CA0054,http://library.lakecountyca.gov
LARKSPUR PUBLIC LIBRARY,LARKSPUR PUBLIC LIBRARY,(415) 927-5005,37.93430,-122.53531,400 MAGNOLIA AVE,LARKSPUR,94939,2035,CA0055,http://www.larkspurlibrary.org
SUSANVILLE DISTRICT LIBRARY,LASSEN LIBRARY DISTRICT,(530) 251-8127,40.41487,-120.64943,1618 MAIN ST.,SUSANVILLE,96130,4515,CA0195,http://www.lassenlibrary.org/
TWELVE BRIDGES LIBRARY,LINCOLN PUBLIC LIBRARY,(916) 434-2410,38.84979,-121.29229,485 TWELVE BRIDGES DRIVE,LINCOLN,95648,8823,CA0057,http://www.libraryatlincoln.org
LIVERMORE PUBLIC LIBRARY  CIVIC CENTER,LIVERMORE PUBLIC LIBRARY,(925) 373-5500,37.67424,-121.75429,1188 S. LIVERMORE AVE.,LIVERMORE,94550,4813,CA0058,http://www.livermorelibrary.net
RINCON BRANCH LIBRARY,LIVERMORE PUBLIC LIBRARY,(925) 373-5540,37.68651,-121.78488,725 RINCON AVE.,LIVERMORE,94551,6524,CA0058,http://www.livermorelibrary.net
SPRINGTOWN BRANCH LIBRARY,LIVERMORE PUBLIC LIBRARY,(925) 373-5517,37.70690,-121.73738,998 BLUEBELL DR.,LIVERMORE,94551,1420,CA0058,http://www.livermorelibrary.net
LODI PUBLIC LIBRARY,LODI PUBLIC LIBRARY,(209) 333-5566,38.13709,-121.27542,201 W. LOCUST STREET,LODI,95240,2013,CA0059,library.lodi.gov
LOMPOC PUBLIC LIBRARY,LOMPOC PUBLIC LIBRARY,(805) 875-8775,34.65372,-120.45201,501 E. NORTH AVE.,LOMPOC,93436,3404,CA0060,http://www.cityoflompoc.com/library/
VANDENBERG VILLAGE BRANCH,LOMPOC PUBLIC LIBRARY,(805) 733-3323,34.70036,-120.46670,3755 CONSTELLATION ROAD,LOMPOC,93436,1401,CA0060,http://www.cityoflompoc.com/library/
ALAMITOS BRANCH LIBRARY,LONG BEACH PUBLIC LIBRARY,(562) 570-1037,33.76886,-118.16856,1836 E. THIRD ST.,LONG BEACH,90802,3936,CA0061,http://www.lbpl.org/
BACH BRANCH LIBRARY,LONG BEACH PUBLIC LIBRARY,(562) 570-1038,33.83187,-118.12557,4055 BELLFLOWER BLVD.,LONG BEACH,90808,1904,CA0061,http://www.lbpl.org/
BAY SHORE BRANCH LIBRARY,LONG BEACH PUBLIC LIBRARY,(562) 570-1039,33.75804,-118.13051,195 BAY SHORE AVE.,LONG BEACH,90803,3499,CA0061,http://www.lbpl.org/
BRET HARTE BRANCH LIBRARY,LONG BEACH PUBLIC LIBRARY,(562) 570-1044,33.80459,-118.21407,1595 W. WILLOW ST.,LONG BEACH,90810,3124,CA0061,http://www.lbpl.org/
BREWITT BRANCH LIBRARY,LONG BEACH PUBLIC LIBRARY,(562) 570-1040,33.78238,-118.14514,4036 E. ANAHEIM ST.,LONG BEACH,90804,4137,CA0061,http://www.lbpl.org/
BURNETT BRANCH LIBRARY,LONG BEACH PUBLIC LIBRARY,(562) 570-1041,33.79685,-118.18573,560 E. HILL ST.,LONG BEACH,90806,4454,CA0061,http://www.lbpl.org/
DANA BRANCH LIBRARY,LONG BEACH PUBLIC LIBRARY,(562) 570-1042,33.82406,-118.18472,3680 ATLANTIC AVE.,LONG BEACH,90807,3418,CA0061,http://www.lbpl.org/
EL DORADO BRANCH LIBRARY,LONG BEACH PUBLIC LIBRARY,(562) 570-3136,33.80890,-118.09860,2900 STUDEBAKER RD.,LONG BEACH,90815,1631,CA0061,http://www.lbpl.org/
BILLIE JEAN KING MAIN LIBRARY,LONG BEACH PUBLIC LIBRARY,(562) 570-7500,33.76923,-118.19438,200 W. BROADWAY,LONG BEACH,90802,4433,CA0061,http://www.lbpl.org/
LOS ALTOS BRANCH LIBRARY,LONG BEACH PUBLIC LIBRARY,(562) 570-1045,33.79337,-118.12254,5614 BRITTON DR.,LONG BEACH,90815,3129,CA0061,http://www.lbpl.org/
MARK TWAIN BRANCH LIBRARY,LONG BEACH PUBLIC LIBRARY,(562) 570-1046,33.78289,-118.17343,1401 E. ANAHEIM ST.,LONG BEACH,90813,3711,CA0061,http://www.lbpl.org/
MICHELLE OBAMA BRANCH LIBRARY,LONG BEACH PUBLIC LIBRARY,(562) 570-1047,33.86153,-118.18458,5870 ATLANTIC AVE.,LONG BEACH,90805,4106,CA0061,http://www.lbpl.org/
LOOMIS LIBRARY & COMMUNITY LEARNING CENTER,LOOMIS LIBRARY & COMMUNITY LEARNING CENTER,(916) 824-2905,38.82000,-121.19055,6050 LIBRARY DR.,LOOMIS,95650,,CA0270,https://loomislibrary.org/
ANGELES MESA BRANCH,LOS ANGELES PUBLIC LIBRARY,(323) 292-4328,33.99483,-118.32286,2700 W. 52ND ST.,LOS ANGELES,90043,1999,CA0063,http://www.lapl.org
ARROYO SECO REGIONAL BRANCH,LOS ANGELES PUBLIC LIBRARY,(323) 255-0537,34.11383,-118.18633,6145 N. FIGUEROA ST.,LOS ANGELES,90042,3565,CA0063,http://www.lapl.org
ASCOT BRANCH,LOS ANGELES PUBLIC LIBRARY,(323) 759-4817,33.97436,-118.27463,120 W. FLORENCE AVE.,LOS ANGELES,90003,1805,CA0063,http://www.lapl.org
ATWATER VILLAGE BRANCH,LOS ANGELES PUBLIC LIBRARY,(323) 664-1353,34.12013,-118.25919,3379 GLENDALE BLVD.,LOS ANGELES,90039,1825,CA0063,http://www.lapl.org
BALDWIN HILLS BRANCH,LOS ANGELES PUBLIC LIBRARY,(323) 733-1196,34.02821,-118.35265,2906 S. LA BREA,LOS ANGELES,90016,3902,CA0063,http://www.lapl.org
BENJAMIN FRANKLIN BRANCH,LOS ANGELES PUBLIC LIBRARY,(323) 263-6901,34.04404,-118.21223,2200 E. FIRST ST.,LOS ANGELES,90033,3997,CA0063,http://www.lapl.org
BRENTWOOD - DONALD BRUCE KAUFMAN BRANCH,LOS ANGELES PUBLIC LIBRARY,(310) 575-8273,34.05267,-118.46874,11820 SAN VICENTE BLVD.,LOS ANGELES,90049,5055,CA0063,http://www.lapl.org
CAHUENGA BRANCH,LOS ANGELES PUBLIC LIBRARY,(323) 664-6418,34.09104,-118.28895,4591 SANTA MONICA BLVD.,LOS ANGELES,90029,1827,CA0063,http://www.lapl.org
CANOGA PARK BRANCH,LOS ANGELES PUBLIC LIBRARY,(818) 887-0320,34.20136,-118.59015,20939 SHERMAN WAY,CANOGA PARK,91303,1744,CA0063,http://www.lapl.org
CHATSWORTH BRANCH,LOS ANGELES PUBLIC LIBRARY,(818) 341-4276,34.25700,-118.59246,21052 DEVONSHIRE ST,CHATSWORTH,91311,2314,CA0063,http://www.lapl.org
CHINATOWN BRANCH,LOS ANGELES PUBLIC LIBRARY,(213) 620-0925,34.06066,-118.24107,639 N. HILL ST.,LOS ANGELES,90012,2317,CA0063,http://www.lapl.org
CYPRESS PARK BRANCH,LOS ANGELES PUBLIC LIBRARY,(323) 224-0039,34.09446,-118.22745,1150 CYPRESS AVE.,LOS ANGELES,90065,1144,CA0063,http://www.lapl.org
DURANT - WILL AND ARIEL BRANCH,LOS ANGELES PUBLIC LIBRARY,(323) 876-2741,34.09773,-118.34566,7140 W. SUNSET BLVD.,LOS ANGELES,90046,4416,CA0063,http://www.lapl.org
EAGLE ROCK BRANCH,LOS ANGELES PUBLIC LIBRARY,(323) 250-7808,34.13758,-118.21361,5027 CASPAR AVE.,LOS ANGELES,90041,1901,CA0063,http://www.lapl.org
ECHO PARK BRANCH,LOS ANGELES PUBLIC LIBRARY,(213) 250-7808,34.06722,-118.25724,1410 W. TEMPLE ST.,LOS ANGELES,90026,5668,CA0063,http://www.lapl.org
EDENDALE BRANCH,LOS ANGELES PUBLIC LIBRARY,(213) 207-3000,34.07817,-118.26232,2011 W. SUNSET BLVD.,LOS ANGELES,90026,3122,CA0063,http://www.lapl.org
EL SERENO BRANCH,LOS ANGELES PUBLIC LIBRARY,(323) 225-9201,34.08922,-118.16851,5226 HUNTINGTON DR. SOUTH,LOS ANGELES,90032,1704,CA0063,http://www.lapl.org
ENCINO-TARZANA BRANCH,LOS ANGELES PUBLIC LIBRARY,(818) 343-1983,34.16677,-118.53005,18231 VENTURA BLVD.,TARZANA,91356,3620,CA0063,http://www.lapl.org
EXPOSITION PARK  - DR. MARY MCLEOD BETHUNE REGIONAL BRANCH,LOS ANGELES PUBLIC LIBRARY,(323) 290-3113,34.01440,-118.30862,3900 S. WESTERN AVE.,LOS ANGELES,90062,1111,CA0063,http://www.lapl.org
FAIRFAX BRANCH,LOS ANGELES PUBLIC LIBRARY,(323) 936-6191,34.07177,-118.35359,161 S. GARDNER ST.,LOS ANGELES,90036,2717,CA0063,http://www.lapl.org
FELIPE DE NEVE BRANCH,LOS ANGELES PUBLIC LIBRARY,(213) 384-7676,34.06331,-118.28397,2820 W. SIXTH ST.,LOS ANGELES,90057,3204,CA0063,http://www.lapl.org
GRANADA HILLS BRANCH,LOS ANGELES PUBLIC LIBRARY,(818) 368-5687,34.26428,-118.49762,10640 PETIT AVE.,GRANADA HILLS,91344,6305,CA0063,http://www.lapl.org
HARBOR CITY - HARBOR GATEWAY BRANCH,LOS ANGELES PUBLIC LIBRARY,(310) 534-9520,33.80695,-118.30731,24000 S. WESTERN AVE.,HARBOR CITY,90710,1741,CA0063,http://www.lapl.org
HOLLYWOOD - FRANCES HOWARD GOLDWYN REGIONAL BRANCH,LOS ANGELES PUBLIC LIBRARY,(323) 856-8260,34.10052,-118.32871,1623 IVAR AVE.,LOS ANGELES,90028,6305,CA0063,http://www.lapl.org
HYDE PARK - MIRIAM MATTHEWS BRANCH,LOS ANGELES PUBLIC LIBRARY,(323) 750-7241,33.97478,-118.31820,2205 FLORENCE AV,LOS ANGELES,90043,5101,CA0063,http://www.lapl.org
JEFFERSON BRANCH,LOS ANGELES PUBLIC LIBRARY,(323) 734-8573,34.02593,-118.31921,2211 W. JEFFERSON BLVD.,LOS ANGELES,90018,3741,CA0063,http://www.lapl.org
JOHN C. FREMONT BRANCH,LOS ANGELES PUBLIC LIBRARY,(323) 962-3521,34.08371,-118.33382,6121 MELROSE AVE.,LOS ANGELES,90038,3339,CA0063,http://www.lapl.org
JOHN MUIR BRANCH,LOS ANGELES PUBLIC LIBRARY,(323) 789-4800,33.98152,-118.29208,1005 W. 64TH ST.,LOS ANGELES,90044,3605,CA0063,http://www.lapl.org
JUNIPERO SERRA BRANCH,LOS ANGELES PUBLIC LIBRARY,(323) 234-1685,34.00173,-118.27437,4607 S. MAIN ST.,LOS ANGELES,90037,2735,CA0063,http://www.lapl.org
LAKE VIEW TERRACE BRANCH,LOS ANGELES PUBLIC LIBRARY,(818) 890-7404,34.27277,-118.39391,12002 OSBORNE ST.,LAKE VIEW TERRACE,91342,834,CA0063,http://www.lapl.org
LINCOLN HEIGHTS BRANCH,LOS ANGELES PUBLIC LIBRARY,(323) 226-1692,34.07616,-118.21401,2530 WORKMAN ST.,LOS ANGELES,90031,2322,CA0063,http://www.lapl.org
LITTLE TOKYO BRANCH LIBRARY,LOS ANGELES PUBLIC LIBRARY,(213) 612-0525,34.05007,-118.24380,203 S. LOS ANGELES STREET,LOS ANGELES,90012,3704,CA0063,http://www.lapl.org
LOS FELIZ BRANCH,LOS ANGELES PUBLIC LIBRARY,(323) 913-4710,34.10507,-118.28715,1874 HILLHURST AVE.,LOS ANGELES,90027,4427,CA0063,http://www.lapl.org
MALABAR BRANCH,LOS ANGELES PUBLIC LIBRARY,(323) 263-1497,34.05074,-118.19777,2801 WABASH AVE.,LOS ANGELES,90033,2604,CA0063,http://www.lapl.org
MARK TWAIN BRANCH,LOS ANGELES PUBLIC LIBRARY,(323) 755-4088,33.94844,-118.28298,9621 S. FIGUEROA ST.,LOS ANGELES,90039,3929,CA0063,http://www.lapl.org
MAR VISTA BRANCH,LOS ANGELES PUBLIC LIBRARY,(310) 390-3454,34.00570,-118.42904,12006 VENICE BLVD.,LOS ANGELES,90066,3810,CA0063,http://www.lapl.org
MEMORIAL BRANCH,LOS ANGELES PUBLIC LIBRARY,(323) 938-2732,34.05735,-118.33157,4625 W. OLYMPIC BLVD.,LOS ANGELES,90019,1832,CA0063,http://www.lapl.org
MID-VALLEY REGIONAL BRANCH LIBRARY,LOS ANGELES PUBLIC LIBRARY,(818) 895-3650,34.23512,-118.48740,16244 NORDHOFF ST.,NORTH HILLS,91343,3800,CA0063,http://www.lapl.org
NORTH HOLLYWOOD AMELIA EARHART REGIONAL BRANCH,LOS ANGELES PUBLIC LIBRARY,(818) 766-7185,34.16564,-118.37948,5211 TUJUNGA AVE.,NORTH HOLLYWOOD,91601,3119,CA0063,http://www.lapl.org
NORTHRIDGE BRANCH,LOS ANGELES PUBLIC LIBRARY,(818) 886-3640,34.23509,-118.53410,9051 DARBY AVE.,NORTHRIDGE,91325,2708,CA0063,http://www.lapl.org
PACOIMA BRANCH,LOS ANGELES PUBLIC LIBRARY,(818) 899-5203,34.26129,-118.42932,13605 VAN NUYS BLVD.,PACOIMA,91331,3613,CA0063,http://www.lapl.org
PALISADES BRANCH,LOS ANGELES PUBLIC LIBRARY,(310) 459-2754,34.04400,-118.52513,861 ALMA REAL DR.,PACIFIC PALISADES,90272,3730,CA0063,http://www.lapl.org
PALMS-RANCHO PARK BRANCH,LOS ANGELES PUBLIC LIBRARY,(310) 840-2142,34.03364,-118.41824,2920 OVERLAND AVE.,LOS ANGELES,90064,4299,CA0063,http://www.lapl.org
PANORAMA CITY BRANCH,LOS ANGELES PUBLIC LIBRARY,(818) 894-4071,34.22193,-118.44641,14345 ROSCOE BLVD.,PANORAMA CITY,91402,4297,CA0063,http://www.lapl.org
PICO UNION BRANCH,LOS ANGELES PUBLIC LIBRARY,(213) 368-7647,34.05094,-118.28009,1030 S. ALVARADO ST.,LOS ANGELES,90006,3712,CA0063,http://www.lapl.org
PIO PICO KOREATOWN BRANCH,LOS ANGELES PUBLIC LIBRARY,(213) 368-7647,34.06004,-118.30711,694 S. OXFORD,LOS ANGELES,90005,2872,CA0063,http://www.lapl.org
PLATT BRANCH,LOS ANGELES PUBLIC LIBRARY,(818) 340-9386,34.18623,-118.64136,23600 VICTORY BLVD.,LOS ANGELES,91367,1349,CA0063,http://www.lapl.org
