Location,Main Library Name,10.15 Phone,Address,10.7 City,Zip Code,10.9 Zip+4 Code,URL
Selma Branch Library,FRESNO COUNTY PUBLIC LIBRARY,(559) 896-3393,2200 Selma St.,SELMA,93662,3151.0,http://www.fresnolibrary.org
Senior Resource Center Library,FRESNO COUNTY PUBLIC LIBRARY,(559) 600-6767,2025 E. Dakota Avenue,FRESNO,93726,4804.0,http://www.fresnolibrary.org
Shaver Lake Branch Library,FRESNO COUNTY PUBLIC LIBRARY,(559) 841-3330,41344 Tollhouse Rd.,SHAVER LAKE,93664,,http://www.fresnolibrary.org
Sunnyside Regional Library,FRESNO COUNTY PUBLIC LIBRARY,(559) 600-6594,5566 E. Kings Canyon Road,FRESNO,93727,4526.0,http://www.fresnolibrary.org
Talking Book Library For The Blind,FRESNO COUNTY PUBLIC LIBRARY,(559) 600-3217,770 N. San Pablo Ave.,FRESNO,93728,3640.0,http://www.fresnolibrary.org
Teague Branch Library,FRESNO COUNTY PUBLIC LIBRARY,(559) 274-1005,4725 N. Polk Ave.,FRESNO,93722,,http://www.fresnolibrary.org
Tranquillity Branch Library,FRESNO COUNTY PUBLIC LIBRARY,(559) 698-5158,25561 W Williams St,TRANQUILLITY,93668,,http://www.fresnolibrary.org
West Fresno Branch Library,FRESNO COUNTY PUBLIC LIBRARY,(559) 455-6066,188 E. California Ave,FRESNO,93706,3642.0,http://www.fresnolibrary.org
Woodward Park Regional Library,FRESNO COUNTY PUBLIC LIBRARY,(559) 600-3135,944 East Perrin Avenue,FRESNO,93720,5011.0,http://www.fresnolibrary.org
Fullerton Main Library,FULLERTON PUBLIC LIBRARY,(714) 738-6380,353 W. Commonwealth Ave.,FULLERTON,92832,1796.0,www.fullertonlibrary.org
Brand Library,GLENDALE PUBLIC LIBRARY,(818) 548-2051,1601 W. Mountain St.,GLENDALE,91201,1209.0,http://glendalepubliclibrary.org
Casa Verdugo Branch Library,GLENDALE PUBLIC LIBRARY,(818) 548-2047,1151 N. Brand Blvd.,GLENDALE,91202,2503.0,http://glendalepubliclibrary.org
Chevy Chase Branch Library,GLENDALE PUBLIC LIBRARY,(818) 548-2046,3301 E. Chevy Chase Dr.,GLENDALE,91206,1416.0,http://glendalepubliclibrary.org
"Glendale Library, Arts & Culture",GLENDALE PUBLIC LIBRARY,(818) 548-2021,222 E. Harvard St.,GLENDALE,91205,1075.0,http://glendalepubliclibrary.org
Grandview Branch Library,GLENDALE PUBLIC LIBRARY,(818) 548-2049,1535 Fifth St.,GLENDALE,91201,1985.0,http://glendalepubliclibrary.org
Library Connection @ Adams Square,GLENDALE PUBLIC LIBRARY,(818) 548-3833,1100 East Chevy Chase Drive,GLENDALE,91205,2511.0,http://glendalepubliclibrary.org
Montrose Branch Library,GLENDALE PUBLIC LIBRARY,(818) 548-2048,2465 Honolulu Ave.,MONTROSE,91020,1803.0,http://glendalepubliclibrary.org
Pacific Park Branch Library,GLENDALE PUBLIC LIBRARY,(818) 548-3760,501 South Pacific Avenue,GLENDALE,91204,1423.0,http://glendalepubliclibrary.org
Glendora Library And Cultural Center,GLENDORA LIBRARY & CULTURAL CENTER,(626) 852-4891,140 South Glendora Ave.,GLENDORA,91741,3499.0,http://www.glendoralibrary.org
Buellton Branch Library,GOLETA VALLEY LIBRARY,(805) 688-3115,140 W. Hwy 246,BUELLTON,93427,9998.0,https://www.cityofgoleta.org/city-hall/goleta-valley-library
Goleta Valley Library,GOLETA VALLEY LIBRARY,(805) 964-7878,500 N. Fairview Ave.,GOLETA,93117,1797.0,https://www.cityofgoleta.org/city-hall/goleta-valley-library
Solvang Library,GOLETA VALLEY LIBRARY,(805) 688-4214,1745 Mission Drive,SOLVANG,93463,2694.0,https://www.cityofgoleta.org/city-hall/goleta-valley-library
Harrison Memorial Library,HARRISON MEMORIAL LIBRARY,(831) 624-4629,Ocean Ave. & Lincoln Blvd.,CARMEL,93921,800.0,http://ci.carmel.ca.us/library
Park Branch Library - Harrison Memorial,HARRISON MEMORIAL LIBRARY,(831) 624-4664,Mission & Sixth St.,CARMEL,93921,800.0,http://ci.carmel.ca.us/library
Hayward Public Library,HAYWARD PUBLIC LIBRARY,(510) 293-8685,888 C St.,HAYWARD,94541,5101.0,hayward-ca.gov/public-library
Weekes Library,HAYWARD PUBLIC LIBRARY,(510) 782-2155,27300 Patrick Ave.,HAYWARD,94544,4498.0,hayward-ca.gov/public-library
Hemet Public Library,HEMET PUBLIC LIBRARY,(951) 765-2440,300 E. Latham Ave,HEMET,92543,4222.0,www.hemetca.gov/library
Arcata Library,HUMBOLDT COUNTY LIBRARY,(707) 822-5954,500 Seventh St.,ARCATA,95521,6315.0,http://www.co.humboldt.ca.us/library/
Blue Lake Library,HUMBOLDT COUNTY LIBRARY,(707) 668-4207,111 Greenwood Ave.,BLUE LAKE,95525,4960.0,http://www.co.humboldt.ca.us/library/
Eureka Main Library,HUMBOLDT COUNTY LIBRARY,(707) 269-1929,1313 Third St.,EUREKA,95501,553.0,http://www.co.humboldt.ca.us/library/
Ferndale Library,HUMBOLDT COUNTY LIBRARY,(707) 786-9559,807 Main Street,FERNDALE,95536,,http://www.co.humboldt.ca.us/library/
Fortuna Library,HUMBOLDT COUNTY LIBRARY,(707) 725-3460,775 14Th St.,FORTUNA,95540,2113.0,http://www.co.humboldt.ca.us/library/
Garberville Library,HUMBOLDT COUNTY LIBRARY,(707) 923-2230,715 Cedar St.,GARBERVILLE,95542,3201.0,http://www.co.humboldt.ca.us/library/
Hoopa,HUMBOLDT COUNTY LIBRARY,(530) 625-5082,Loop Road,HOOPA,95546,,http://www.co.humboldt.ca.us/library/
Mckinleyville Library,HUMBOLDT COUNTY LIBRARY,(707) 839-4459,1606 Pickett Rd.,MCKINLEYVILLE,95519,3920.0,http://www.co.humboldt.ca.us/library/
Rio Dell Library,HUMBOLDT COUNTY LIBRARY,(707) 764-3333,715 Wildwood Ave.,RIO DELL,95562,1321.0,http://www.co.humboldt.ca.us/library/
Trinidad Branch Library,HUMBOLDT COUNTY LIBRARY,(707) 677-0227,380 Janis Ct.,TRINIDAD,95570,,http://www.co.humboldt.ca.us/library/
Willow Creek (Klamath-Trinity) Library,HUMBOLDT COUNTY LIBRARY,(530) 629-2146,39 Mayfair St,WILLOW CREEK,95573,,http://www.co.humboldt.ca.us/library/
Banning Library,HUNTINGTON BEACH PUBLIC LIBRARY,(714) 375-5005,9281 Banning Ave.,HUNTINGTON BEACH,92646,8302.0,http://www.hbpl.org
Helen Murphy Branch,HUNTINGTON BEACH PUBLIC LIBRARY,(714) 375-5006,15882 Graham St.,HUNTINGTON BEACH,92649,1724.0,http://www.hbpl.org
Huntington Beach Central Library,HUNTINGTON BEACH PUBLIC LIBRARY,(714) 960-8836,7111 Talbert Ave.,HUNTINGTON BEACH,92648,1232.0,http://www.hbpl.org
Main Street Library,HUNTINGTON BEACH PUBLIC LIBRARY,(714) 375-5071,525 Main St.,HUNTINGTON BEACH,92648,5133.0,http://www.hbpl.org
Oak View Branch,HUNTINGTON BEACH PUBLIC LIBRARY,(714) 375-5068,17251 Oak Lane,HUNTINGTON BEACH,92647,5895.0,http://www.hbpl.org
Calipatria Branch Library,IMPERIAL COUNTY LIBRARY,(760) 348-2630,105 S. Lake,CALIPATRIA,92233,,http://www.library.imperialcounty.org
Heber Branch Library,IMPERIAL COUNTY LIBRARY,(442) 265-7131,1132 Heber Ave.,HEBER,92249,9612.0,http://www.library.imperialcounty.org
Holtville Branch Library,IMPERIAL COUNTY LIBRARY,(760) 356-2385,101 E. Sixth,HOLTVILLE,92250,1228.0,http://www.library.imperialcounty.org
Salton City Library,IMPERIAL COUNTY LIBRARY,(760) 604-6956,1209 Van Buren Road,SALTON CITY,92275,,http://www.library.imperialcounty.org
City Of Imperial Public Library,IMPERIAL PUBLIC LIBRARY,(760) 355-1332,200 W. 9Th St.,IMPERIAL,92251,1213.0,http://www.cityofimperial.org/public-library
Crenshaw-Imperial Library,INGLEWOOD PUBLIC LIBRARY,(310) 412-5403,11141 Crenshaw Blvd,INGLEWOOD,90303,2338.0,http://library.cityofinglewood.org
Inglewood Public Library,INGLEWOOD PUBLIC LIBRARY,(310) 412-5380,101 W. Manchester Blvd.,INGLEWOOD,90301,1771.0,http://library.cityofinglewood.org
Big Pine Branch Library,INYO COUNTY FREE LIBRARY,(760) 938-2420,500 S. Main St.,BIG PINE,93513,-1.0,https://www.inyocounty.us/services/inyo-county-free-library
Bishop Branch Library,INYO COUNTY FREE LIBRARY,(760) 873-5115,210 Academy Ave.,BISHOP,93514,2693.0,https://www.inyocounty.us/services/inyo-county-free-library
Furnace Creek Branch Library,INYO COUNTY FREE LIBRARY,(760) 786-2408,"201 Nevares Road, Cow Creek Road",DEATH VALLEY,92328,-1.0,https://www.inyocounty.us/services/inyo-county-free-library
Inyo County Free Library,INYO COUNTY FREE LIBRARY,(760) 878-0260,168 N. Edwards St.,INDEPENDENCE,93526,610.0,https://www.inyocounty.us/services/inyo-county-free-library
Lone Pine Branch Library,INYO COUNTY FREE LIBRARY,(760) 876-5031,127 Bush Street,LONE PINE,93545,,https://www.inyocounty.us/services/inyo-county-free-library
Tecopa Branch Library,INYO COUNTY FREE LIBRARY,(760) 852-4171,408 Tecopa Hot Springs Road,TECOPA,92389,,https://www.inyocounty.us/services/inyo-county-free-library
Irwindale Public Library,IRWINDALE PUBLIC LIBRARY,(626) 430-2229,5050 N. Irwindale Ave.,IRWINDALE,91706,2193.0,https://www.irwindaleca.gov/121/Library
Arvin Branch Library,KERN COUNTY LIBRARY,(661) 854-5934,201 Campus Drive,ARVIN,93203,1042.0,https://kernlibrary.org
Baker Branch Library,KERN COUNTY LIBRARY,(661) 861-2390,1400 Baker Street,BAKERSFIELD,93305,3731.0,https://kernlibrary.org
Boron Branch Library,KERN COUNTY LIBRARY,(760) 762-5606,26967 Twenty Mule Team Road,BORON,93516,1550.0,https://kernlibrary.org
Buttonwillow Branch Library,KERN COUNTY LIBRARY,(661) 764-5337,101 Main St,BUTTONWILLOW,93206,,https://kernlibrary.org
California City Branch Library,KERN COUNTY LIBRARY,(760) 373-4757,9507 California City Blvd.,CALIFORNIA CITY,93505,,https://kernlibrary.org
Delano Branch Library,KERN COUNTY LIBRARY,(661) 725-1078,925 Tenth Avenue,DELANO,93215,2229.0,https://kernlibrary.org
Eleanor N. Wilson Branch Library,KERN COUNTY LIBRARY,(661) 834-4044,1901 Wilson Road,BAKERSFIELD,93304,5612.0,https://kernlibrary.org
Frazier Park Branch Library,KERN COUNTY LIBRARY,(661) 245-1267,3732 Park Drive,FRAZIER PARK,93225,,https://kernlibrary.org
Holloway-Gonzales Branch Library,KERN COUNTY LIBRARY,(661) 861-2083,506 E. Brundage Lane,BAKERSFIELD,93307,3337.0,https://kernlibrary.org
Kern County Library,KERN COUNTY LIBRARY,(661) 868-0701,701 Truxtun Avenue,BAKERSFIELD,93301,4816.0,https://kernlibrary.org
Kern River Valley Branch Library,KERN COUNTY LIBRARY,(760) 549-2083,7054 Lake Isabella Blvd.,LAKE ISABELLA,93240,9205.0,https://kernlibrary.org
Lamont Branch Library,KERN COUNTY LIBRARY,(661) 845-3471,8304 Segrue Road,LAMONT,93241,2123.0,https://kernlibrary.org
Mcfarland Branch Library,KERN COUNTY LIBRARY,(661) 792-2318,500 W. Kern Avenue,MCFARLAND,93250,1355.0,https://kernlibrary.org
Mojave Branch Library,KERN COUNTY LIBRARY,(661) 824-2243,15555 O St,MOJAVE,93501,1226.0,https://kernlibrary.org
Northeast Branch Library,KERN COUNTY LIBRARY,(661) 871-9017,2671 Oswell Street,BAKERSFIELD,93306,,https://kernlibrary.org
Rathbun Branch Library,KERN COUNTY LIBRARY,(661) 393-6431,200 W. China Grade Loop,BAKERSFIELD,93308,1709.0,https://kernlibrary.org
Ridgecrest Branch Library,KERN COUNTY LIBRARY,(760) 384-5870,131 E. Las Flores Avenue,RIDGECREST,93555,3648.0,https://kernlibrary.org
Rosamond Branch Library,KERN COUNTY LIBRARY,(661) 256-3236,3611 Rosamond Blvd.,ROSAMOND,93560,7653.0,https://kernlibrary.org
Southwest Branch Library,KERN COUNTY LIBRARY,(661) 664-7716,8301 Ming Avenue,BAKERSFIELD,93311,2020.0,https://kernlibrary.org
Taft Branch Library,KERN COUNTY LIBRARY,(661) 763-3294,27 Cougar Court,TAFT,93268,2310.0,https://kernlibrary.org
Tehachapi Branch Library,KERN COUNTY LIBRARY,(661) 822-4938,212 Green Street,TEHACHAPI,93561,,https://kernlibrary.org
Wasco Branch Library,KERN COUNTY LIBRARY,(661) 758-2114,1102 -7Th Street,WASCO,93280,1801.0,https://kernlibrary.org
Armona Community Library,KINGS COUNTY LIBRARY,(559) 583-5005,11115 C St.,ARMONA,93202,368.0,http://www.kingscountylibrary.org/
Avenal Library,KINGS COUNTY LIBRARY,(559) 386-5741,501 E. Kings St.,AVENAL,93204,1731.0,http://www.kingscountylibrary.org/
Corcoran Library,KINGS COUNTY LIBRARY,(559) 992-3314,1001-A Chittenden,CORCORAN,93212,2406.0,http://www.kingscountylibrary.org/
Hanford Library,KINGS COUNTY LIBRARY,(559) 582-0261,401 N. Douty St.,HANFORD,93230,3908.0,http://www.kingscountylibrary.org/
Kettleman City Library,KINGS COUNTY LIBRARY,(559) 386-9804,105 Becky Pease St.,KETTLEMAN CITY,93239,158.0,http://www.kingscountylibrary.org/
Lemoore Library,KINGS COUNTY LIBRARY,(559) 924-2188,457 C St.,LEMOORE,93245,2607.0,http://www.kingscountylibrary.org/
Stratford Library,KINGS COUNTY LIBRARY,(559) 947-3003,20300 Main St.,STRATFORD,93266,9742.0,http://www.kingscountylibrary.org/
A C Bilbrew Library,LA COUNTY LIBRARY,(310) 538-3350,150 East El Segundo Blvd.,LOS ANGELES,90061,2356.0,http://www.lacountylibrary.org
Acton Agua Dulce Library,LA COUNTY LIBRARY,(661) 269-7101,33792 Crown Valley Rd.,ACTON,93510,1763.0,http://www.lacountylibrary.org
Agoura Hills Library,LA COUNTY LIBRARY,(818) 889-2278,29901 Ladyface Court,AGOURA HILLS,91301,4599.0,http://www.lacountylibrary.org
Alondra Library,LA COUNTY LIBRARY,(562) 868-7771,11949 Alondra Blvd.,NORWALK,90650,7108.0,http://www.lacountylibrary.org
Angelo M. Iacoboni Library,LA COUNTY LIBRARY,(562) 866-1777,4990 Clark Ave.,LAKEWOOD,90712,2676.0,http://www.lacountylibrary.org
Anthony Quinn Library,LA COUNTY LIBRARY,(323) 264-7715,3965 Cesar E. Chavez Ave.,LOS ANGELES,90063,1898.0,http://www.lacountylibrary.org
Artesia Library,LA COUNTY LIBRARY,(562) 865-6614,18801 Elaine Ave.,ARTESIA,90701,5817.0,http://www.lacountylibrary.org
Avalon Library,LA COUNTY LIBRARY,(310) 510-1050,215 Sumner Ave.,AVALON,90704,,http://www.lacountylibrary.org
Baldwin Park Library,LA COUNTY LIBRARY,(626) 962-6947,4181 Baldwin Park Blvd.,BALDWIN PARK,91706,3203.0,http://www.lacountylibrary.org
Bell Gardens Library,LA COUNTY LIBRARY,(562) 927-1309,7110 S. Garfield Ave.,BELL GARDENS,90201,3244.0,http://www.lacountylibrary.org
Bell Library,LA COUNTY LIBRARY,(323) 560-2149,4411 East Gage Ave.,BELL,90201,1216.0,http://www.lacountylibrary.org
Carson Library,LA COUNTY LIBRARY,(310) 830-0901,151 East Carson St.,CARSON,90745,2797.0,http://www.lacountylibrary.org
Castaic Library,LA COUNTY LIBRARY,(661) 257-7410,27971 Sloan Canyon Road,CASTAIC,91384,2594.0,http://www.lacountylibrary.org
Charter Oak Library,LA COUNTY LIBRARY,(626) 339-2151,"20540 E. Arrow Hwy., Suite K",COVINA,91724,1238.0,http://www.lacountylibrary.org
Chet Holifield Library,LA COUNTY LIBRARY,(323) 728-0421,1060 South Greenwood Ave.,MONTEBELLO,90640,6030.0,http://www.lacountylibrary.org
City Terrace Library,LA COUNTY LIBRARY,(323) 261-0295,4025 East City Terrace Dr.,LOS ANGELES,90063,1297.0,http://www.lacountylibrary.org
Claremont Helen Renwick Library,LA COUNTY LIBRARY,(909) 621-4902,208 North Harvard Ave.,CLAREMONT,91711,4758.0,http://www.lacountylibrary.org
Clifton M. Brakensiek Library,LA COUNTY LIBRARY,(562) 925-5543,9945 E. Flower St.,BELLFLOWER,90706,5486.0,http://www.lacountylibrary.org
Compton Library,LA COUNTY LIBRARY,(310) 637-0202,240 West Compton Blvd.,COMPTON,90220,3109.0,http://www.lacountylibrary.org
Cudahy Library,LA COUNTY LIBRARY,(323) 771-1345,5218 Santa Ana St.,CUDAHY,90201,6098.0,http://www.lacountylibrary.org
Culver City Julian Dixon Library,LA COUNTY LIBRARY,(310) 559-1676,4975 Overland Ave.,CULVER CITY,90230,4299.0,http://www.lacountylibrary.org
Diamond Bar Library,LA COUNTY LIBRARY,(909) 861-4978,21800 Copley Dr.,DIAMOND BAR,91765,2299.0,http://www.lacountylibrary.org
Dr. Martin Luther King Jr. Library,LA COUNTY LIBRARY,(310) 327-4830,17906 South Avalon Blvd.,CARSON,90746,1598.0,http://www.lacountylibrary.org
Duarte Library,LA COUNTY LIBRARY,(626) 358-1865,1301 Buena Vista St.,DUARTE,91010,2410.0,http://www.lacountylibrary.org
East Los Angeles Library,LA COUNTY LIBRARY,(323) 264-0155,4837 East Third St.,LOS ANGELES,90022,1601.0,http://www.lacountylibrary.org
East Rancho Dominguez Library,LA COUNTY LIBRARY,(310) 632-6193,4205 East Compton Blvd.,EAST RANCHO DOMINGUE,90221,3664.0,http://www.lacountylibrary.org
El Camino Real Library,LA COUNTY LIBRARY,(323) 269-8102,4264 East Whittier Blvd.,LOS ANGELES,90023,2036.0,http://www.lacountylibrary.org
El Monte Library,LA COUNTY LIBRARY,(626) 444-9506,3224 Tyler Ave.,EL MONTE,91731,3356.0,http://www.lacountylibrary.org
Florence Library,LA COUNTY LIBRARY,(323) 581-8028,1610 East Florence Ave.,LOS ANGELES,90001,2522.0,http://www.lacountylibrary.org
Gardena Mayme Dear Library,LA COUNTY LIBRARY,(310) 323-6363,1731 West Gardena Blvd.,GARDENA,90247,4726.0,http://www.lacountylibrary.org
George Nye Jr. Library,LA COUNTY LIBRARY,(562) 421-8497,6600 Del Amo Blvd.,LAKEWOOD,90713,2206.0,http://www.lacountylibrary.org
Graham Library,LA COUNTY LIBRARY,(323) 582-2903,1900 East Firestone Blvd.,LOS ANGELES,90001,4126.0,http://www.lacountylibrary.org
Hacienda Heights Library,LA COUNTY LIBRARY,(626) 968-9356,16010 La Monde St.,HACIENDA HEIGHTS,91745,4299.0,http://www.lacountylibrary.org
Hawaiian Gardens Library,LA COUNTY LIBRARY,(562) 496-1212,11940 Carson Street,HAWAIIAN GARDENS,90716,1137.0,http://www.lacountylibrary.org
Hawthorne Library,LA COUNTY LIBRARY,(310) 679-8193,12700 Grevillea Ave.,HAWTHORNE,90250,4396.0,http://www.lacountylibrary.org
Hermosa Beach Library,LA COUNTY LIBRARY,(310) 379-8475,550 Pier Ave.,HERMOSA BEACH,90254,3892.0,http://www.lacountylibrary.org
Hollydale Library,LA COUNTY LIBRARY,(562) 634-0156,12000 South Garfield Ave.,SOUTH GATE,90280,7894.0,http://www.lacountylibrary.org
Huntington Park Library,LA COUNTY LIBRARY,(323) 583-1461,6518 Miles Ave.,HUNTINGTON PARK,90255,4388.0,http://www.lacountylibrary.org
La Canada Flintridge Library,LA COUNTY LIBRARY,(818) 790-3330,4545 North Oakwood Ave.,LA CANADA FLINTRIDGE,91011,3358.0,http://www.lacountylibrary.org
La Crescenta Library,LA COUNTY LIBRARY,(818) 248-5313,2809 Foothill Blvd,LA CRESCENTA,91214,2999.0,http://www.lacountylibrary.org
La Mirada Library,LA COUNTY LIBRARY,(562) 943-0277,13800 La Mirada Blvd.,LA MIRADA,90638,3098.0,http://www.lacountylibrary.org
La Puente Library,LA COUNTY LIBRARY,(626) 968-4613,15920 East Central Ave.,LA PUENTE,91744,5499.0,http://www.lacountylibrary.org
La Verne Library,LA COUNTY LIBRARY,(909) 596-1934,3640 D. St.,LA VERNE,91750,3572.0,http://www.lacountylibrary.org
Lake Los Angeles Library,LA COUNTY LIBRARY,(661) 264-0593,"16921 East Ave. O, #A",PALMDALE,93591,3045.0,http://www.lacountylibrary.org
Lancaster Library,LA COUNTY LIBRARY,(661) 948-5029,601 W. Lancaster Blvd,LANCASTER,93534,3398.0,http://www.lacountylibrary.org
Lawndale Library,LA COUNTY LIBRARY,(310) 676-0177,14615 Burin Ave.,LAWNDALE,90260,1431.0,http://www.lacountylibrary.org
Leland R. Weaver Library,LA COUNTY LIBRARY,(323) 567-8853,4035 Tweedy Blvd.,SOUTH GATE,90280,6199.0,http://www.lacountylibrary.org
Lennox Library,LA COUNTY LIBRARY,(310) 674-0385,4359 Lennox Blvd,LENNOX,90304,2398.0,http://www.lacountylibrary.org
Littlerock Library,LA COUNTY LIBRARY,(661) 944-4138,35119 80Th Street East,LITTLEROCK,93543,9702.0,http://www.lacountylibrary.org
Live Oak Library,LA COUNTY LIBRARY,(626) 446-8803,4153 East Live Oak Ave.,ARCADIA,91006,5895.0,http://www.lacountylibrary.org
Lloyd Taber-Marina Del Rey Library,LA COUNTY LIBRARY,(310) 821-3415,4533 Admiralty Way,MARINA DEL REY,90292,5416.0,http://www.lacountylibrary.org
Lomita Library,LA COUNTY LIBRARY,(310) 539-4515,24200 Narbonne Ave.,LOMITA,90717,1188.0,http://www.lacountylibrary.org
Los Nietos Library,LA COUNTY LIBRARY,(562) 695-0708,8511 Duchess Dr.,WHITTIER,90606,3396.0,http://www.lacountylibrary.org
Lynwood Library,LA COUNTY LIBRARY,(310) 635-7121,11320 Bullis Rd.,LYNWOOD,90262,3661.0,http://www.lacountylibrary.org
Malibu Library,LA COUNTY LIBRARY,(310) 456-6438,23519 West Civic Center Way,MALIBU,90265,4804.0,http://www.lacountylibrary.org
Manhattan Beach Library,LA COUNTY LIBRARY,(310) 545-8595,1320 Highland Ave.,MANHATTAN BEACH,90266,4789.0,http://www.lacountylibrary.org
Masao W. Satow Library,LA COUNTY LIBRARY,(310) 679-0638,14433 South Crenshaw Blvd.,GARDENA,90249,3142.0,http://www.lacountylibrary.org
Maywood Cesar Chavez Library,LA COUNTY LIBRARY,(323) 771-8600,4323 East Slauson Ave.,MAYWOOD,90270,2837.0,http://www.lacountylibrary.org
Montebello Library,LA COUNTY LIBRARY,(323) 722-6551,1550 West Beverly Blvd.,MONTEBELLO,90640,3993.0,http://www.lacountylibrary.org
Norwalk Library,LA COUNTY LIBRARY,(562) 868-0775,12350 Imperial Hwy.,NORWALK,90650,3199.0,http://www.lacountylibrary.org
Norwood Library,LA COUNTY LIBRARY,(626) 443-3147,4550 North Peck Rd.,EL MONTE,91732,1998.0,http://www.lacountylibrary.org
Paramount Library,LA COUNTY LIBRARY,(562) 630-3171,16254 Colorado Ave.,PARAMOUNT,90723,5085.0,http://www.lacountylibrary.org
Pico Rivera Library,LA COUNTY LIBRARY,(562) 942-7394,9001 Mines Ave.,PICO RIVERA,90660,3098.0,http://www.lacountylibrary.org
Quartz Hill Library,LA COUNTY LIBRARY,(661) 943-2454,42018 N. 50Th St. W.,QUARTZ HILL,93536,3509.0,http://www.lacountylibrary.org
Rivera Library,LA COUNTY LIBRARY,(562) 949-5485,7828 S. Serapis Ave.,PICO RIVERA,90660,4600.0,http://www.lacountylibrary.org
Rosemead Library,LA COUNTY LIBRARY,(626) 573-5220,8800 Valley Blvd.,ROSEMEAD,91770,1788.0,http://www.lacountylibrary.org
Rowland Heights Library,LA COUNTY LIBRARY,(626) 912-5348,1850 Nogales St.,ROWLAND HEIGHTS,91748,2945.0,http://www.lacountylibrary.org
San Dimas Library,LA COUNTY LIBRARY,(909) 599-6738,145 North Walnut Ave.,SAN DIMAS,91773,2603.0,http://www.lacountylibrary.org
San Fernando Library,LA COUNTY LIBRARY,(818) 365-6928,217 N. Maclay Ave.,SAN FERNANDO,91340,2908.0,http://www.lacountylibrary.org
San Gabriel Library,LA COUNTY LIBRARY,(626) 287-0761,500 South Del Mar Ave.,SAN GABRIEL,91776,2408.0,http://www.lacountylibrary.org
Sorensen Library,LA COUNTY LIBRARY,(562) 695-3979,6934 Broadway Ave.,WHITTIER,90606,1994.0,http://www.lacountylibrary.org
South El Monte Library,LA COUNTY LIBRARY,(626) 443-4158,1430 N. Central Ave.,SOUTH EL MONTE,91733,3302.0,http://www.lacountylibrary.org
South Whittier Library,LA COUNTY LIBRARY,(562) 946-4415,11543 Colima Rd,WHITTIER,90604,2966.0,http://www.lacountylibrary.org
Stevenson Ranch Library,LA COUNTY LIBRARY,(661) 287-5954,25950 The Old Road,STEVENSON RANCH,91381,,http://www.lacountylibrary.org
Sunkist Library,LA COUNTY LIBRARY,(626) 960-2707,840 North Puente Ave.,LA PUENTE,91746,1316.0,http://www.lacountylibrary.org
Temple City Library,LA COUNTY LIBRARY,(626) 285-2136,5939 Golden West Ave.,TEMPLE CITY,91780,5702.0,http://www.lacountylibrary.org
Topanga Library,LA COUNTY LIBRARY,(310) 455-3480,122 N. Topanga Canyon Blvd.,TOPANGA,90290,3836.0,http://www.lacountylibrary.org
View Park Bebe Moore Campbell Library,LA COUNTY LIBRARY,(323) 293-5371,3854 West 54Th St.,LOS ANGELES,90043,2297.0,http://www.lacountylibrary.org
Walnut Library,LA COUNTY LIBRARY,(909) 595-0757,21155 La Puente Rd.,WALNUT,91789,2017.0,http://www.lacountylibrary.org
West Covina Library,LA COUNTY LIBRARY,(626) 962-3541,1601 West Covina Pkwy.,WEST COVINA,91790,2786.0,http://www.lacountylibrary.org
West Hollywood Library,LA COUNTY LIBRARY,(310) 652-5340,625 North San Vicente Blvd.,WEST HOLLYWOOD,90069,5020.0,http://www.lacountylibrary.org
Westlake Village Library,LA COUNTY LIBRARY,(818) 865-9230,31220 W. Oak Crest Drive,WESTLAKE VILLAGE,91361,4643.0,http://www.lacountylibrary.org
Willowbrook Library,LA COUNTY LIBRARY,(323) 564-5698,11737 Wilmington Ave.,LOS ANGELES,90059,3016.0,http://www.lacountylibrary.org
Wiseburn Library,LA COUNTY LIBRARY,(310) 643-8880,5335 West 135Th St.,HAWTHORNE,90250,4948.0,http://www.lacountylibrary.org
Woodcrest Library,LA COUNTY LIBRARY,(323) 757-9373,1340 West 106Th St.,LOS ANGELES,90044,1626.0,http://www.lacountylibrary.org
Lake County Library,LAKE COUNTY LIBRARY,(707) 263-8817,1425 N. High,LAKEPORT,95453,3800.0,http://library.lakecountyca.gov
Middletown Library,LAKE COUNTY LIBRARY,(707) 987-3674,21256 Washington Street,MIDDLETOWN,95461,578.0,http://library.lakecountyca.gov
Redbud Library,LAKE COUNTY LIBRARY,(707) 994-5115,14785 Burns Valley Rd.,CLEARLAKE,95422,600.0,http://library.lakecountyca.gov
Upper Lake Library,LAKE COUNTY LIBRARY,(707) 275-2049,310 Second St.,UPPER LAKE,95485,9591.0,http://library.lakecountyca.gov
Larkspur Public Library,LARKSPUR PUBLIC LIBRARY,(415) 927-5005,400 Magnolia Ave,LARKSPUR,94939,2035.0,http://www.larkspurlibrary.org
Susanville District Library,LASSEN LIBRARY DISTRICT,(530) 251-8127,1618 Main St.,SUSANVILLE,96130,4515.0,http://www.lassenlibrary.org/
Twelve Bridges Library,LINCOLN PUBLIC LIBRARY,(916) 434-2410,485 Twelve Bridges Drive,LINCOLN,95648,8823.0,http://www.libraryatlincoln.org
Livermore Public Library  Civic Center,LIVERMORE PUBLIC LIBRARY,(925) 373-5500,1188 S. Livermore Ave.,LIVERMORE,94550,4813.0,http://www.livermorelibrary.net
Rincon Branch Library,LIVERMORE PUBLIC LIBRARY,(925) 373-5540,725 Rincon Ave.,LIVERMORE,94551,6524.0,http://www.livermorelibrary.net
